datetime,day_of_week,order_id,order_total,payment_method,number_of_maindishes,number_of_snacks,number_of_drinks,number_of_soups,number_of_extras,is_takeaway
2025-01-02 20:14:00,4,6133,331.0,3,2.0,0.0,0.0,1.0,0.0,1
2025-01-02 20:32:00,4,6134,419.0,3,4.0,1.0,0.0,0.0,1.0,1
2025-01-03 14:00:00,5,15113,387.0,1,3.0,1.0,0.0,0.0,0.0,1
2025-01-03 15:03:00,5,15114,248.0,1,2.0,0.0,0.0,0.0,0.0,1
2025-01-03 15:35:00,5,6137,529.0,3,1.0,0.0,2.0,0.0,0.0,0
2025-01-03 15:37:00,5,15115,416.0,2,2.0,2.0,0.0,0.0,0.0,1
2025-01-03 15:39:00,5,6137,529.0,3,1.0,0.0,2.0,0.0,0.0,0
2025-01-03 15:58:00,5,6135,432.0,3,3.0,1.0,0.0,0.0,0.0,1
2025-01-03 16:04:00,5,6136,198.0,3,1.0,1.0,0.0,0.0,0.0,1
2025-01-03 16:24:00,5,15118,492.0,2,3.0,1.0,0.0,0.0,0.0,1
2025-01-03 16:33:00,5,15119,353.0,2,2.0,1.0,0.0,0.0,0.0,1
2025-01-03 16:37:00,5,15120,495.0,1,3.0,2.0,0.0,0.0,0.0,1
2025-01-03 16:45:00,5,15121,169.0,2,1.0,1.0,0.0,0.0,0.0,1
2025-01-03 16:53:00,5,15123,386.0,1,4.0,0.0,0.0,0.0,0.0,1
2025-01-03 17:05:00,5,15124,560.0,1,4.0,0.0,0.0,0.0,4.0,1
2025-01-03 17:10:00,5,6138,435.0,3,2.0,3.0,0.0,0.0,0.0,1
2025-01-03 17:14:00,5,15126,456.0,2,2.0,2.0,0.0,0.0,1.0,1
2025-01-03 17:17:00,5,6139,557.0,3,4.0,1.0,0.0,0.0,0.0,0
2025-01-03 17:18:00,5,15128,139.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-03 17:21:00,5,15129,274.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-03 17:22:00,5,15130,407.0,2,2.0,0.0,0.0,1.0,0.0,1
2025-01-03 17:25:00,5,6140,242.0,3,2.0,0.0,0.0,0.0,0.0,1
2025-01-03 17:29:00,5,15132,361.0,1,3.0,0.0,0.0,0.0,0.0,1
2025-01-03 17:31:00,5,6145,186.0,3,1.0,0.0,1.0,0.0,0.0,0
2025-01-03 17:33:00,5,6144,441.0,3,2.0,1.0,2.0,0.0,0.0,0
2025-01-03 17:34:00,5,6141,491.0,3,4.0,2.0,0.0,0.0,0.0,0
2025-01-03 17:37:00,5,15134,278.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-03 17:48:00,5,15135,382.0,1,1.0,1.0,0.0,0.0,0.0,1
2025-01-03 17:53:00,5,15136,357.0,2,2.0,1.0,0.0,0.0,0.0,1
2025-01-03 17:55:00,5,15137,254.0,1,2.0,0.0,0.0,0.0,0.0,1
2025-01-03 17:56:00,5,15138,353.0,2,2.0,1.0,0.0,0.0,0.0,1
2025-01-03 18:02:00,5,15139,327.0,1,2.0,1.0,0.0,0.0,0.0,1
2025-01-03 18:03:00,5,15140,529.0,1,2.0,2.0,0.0,1.0,0.0,1
2025-01-03 18:05:00,5,6148,399.0,3,2.0,0.0,3.0,0.0,0.0,0
2025-01-03 18:07:00,5,15141,895.0,2,6.0,1.0,0.0,0.0,0.0,1
2025-01-03 18:08:00,5,15143,278.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-03 18:12:00,5,6143,20.0,3,0.0,1.0,0.0,0.0,0.0,0
2025-01-03 18:17:00,5,15146,143.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-03 18:18:00,5,15147,271.0,1,2.0,2.0,0.0,0.0,0.0,1
2025-01-03 18:20:00,5,15149,381.0,2,2.0,1.0,0.0,0.0,1.0,1
2025-01-03 18:27:00,5,15150,582.0,2,4.0,1.0,0.0,0.0,0.0,1
2025-01-03 18:33:00,5,15151,490.0,1,3.0,1.0,0.0,0.0,0.0,1
2025-01-03 18:45:00,5,6149,182.0,3,1.0,1.0,0.0,0.0,0.0,1
2025-01-03 18:51:00,5,6151,499.0,3,2.0,1.0,2.0,1.0,0.0,0
2025-01-03 18:55:00,5,15157,139.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-03 18:57:00,5,913,357.0,3,2.0,0.0,2.0,0.0,0.0,0
2025-01-03 19:05:00,5,15159,756.0,2,5.0,1.0,0.0,0.0,0.0,1
2025-01-03 19:14:00,5,6150,124.0,3,1.0,0.0,0.0,0.0,1.0,0
2025-01-03 19:18:00,5,914,412.0,3,2.0,1.0,2.0,0.0,0.0,0
2025-01-03 19:28:00,5,15162,123.0,1,1.0,0.0,0.0,0.0,0.0,1
2025-01-03 19:35:00,5,15163,139.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-03 19:50:00,5,6152,0.0,3,1.0,0.0,0.0,0.0,0.0,0
2025-01-03 20:00:00,5,15166,212.0,2,1.0,1.0,0.0,0.0,0.0,1
2025-01-03 20:05:00,5,15167,400.0,1,2.0,2.0,0.0,0.0,0.0,1
2025-01-03 20:10:00,5,15168,298.0,2,2.0,0.0,0.0,0.0,1.0,1
2025-01-03 20:18:00,5,15169,139.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-03 20:24:00,5,6153,313.0,3,3.0,0.0,0.0,0.0,0.0,0
2025-01-03 20:25:00,5,6154,123.0,3,1.0,0.0,0.0,0.0,0.0,1
2025-01-03 20:26:00,5,6155,20.0,3,0.0,0.0,0.0,0.0,2.0,0
2025-01-03 20:35:00,5,6156,378.0,3,2.0,2.0,0.0,0.0,0.0,0
2025-01-03 20:51:00,5,915,268.0,3,0.0,1.0,2.0,1.0,0.0,0
2025-01-03 20:52:00,5,916,326.0,3,0.0,2.0,2.0,1.0,0.0,0
2025-01-04 13:44:00,6,15176,497.0,1,4.0,0.0,0.0,0.0,1.0,1
2025-01-04 14:07:00,6,15177,139.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-04 14:51:00,6,15178,317.0,1,1.0,1.0,0.0,1.0,1.0,1
2025-01-04 15:08:00,6,15179,1075.0,1,8.0,0.0,0.0,1.0,0.0,1
2025-01-04 15:25:00,6,6157,194.0,3,1.0,1.0,0.0,0.0,0.0,0
2025-01-04 15:36:00,6,15181,252.0,2,1.0,1.0,1.0,0.0,1.0,1
2025-01-04 15:54:00,6,6158,287.0,3,2.0,0.0,1.0,0.0,0.0,0
2025-01-04 16:11:00,6,15184,795.0,1,5.0,3.0,0.0,0.0,0.0,1
2025-01-04 16:12:00,6,15185,242.0,1,2.0,0.0,0.0,0.0,0.0,1
2025-01-04 16:17:00,6,15187,347.0,2,2.0,1.0,0.0,0.0,0.0,1
2025-01-04 16:20:00,6,15189,272.0,1,2.0,0.0,0.0,0.0,0.0,1
2025-01-04 16:41:00,6,15190,159.0,2,1.0,0.0,0.0,0.0,1.0,1
2025-01-04 16:46:00,6,6159,20.0,3,12.0,1.0,0.0,0.0,0.0,0
2025-01-04 16:48:00,6,15192,278.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-04 16:51:00,6,6160,637.0,3,3.0,4.0,0.0,0.0,1.0,1
2025-01-04 16:54:00,6,15194,879.0,2,5.0,3.0,0.0,0.0,0.0,1
2025-01-04 16:56:00,6,15196,123.0,1,1.0,0.0,0.0,0.0,0.0,1
2025-01-04 16:57:00,6,15197,123.0,1,1.0,0.0,0.0,0.0,0.0,1
2025-01-04 16:59:00,6,15198,520.0,2,1.0,0.0,0.0,3.0,0.0,1
2025-01-04 17:04:00,6,6161,311.0,3,3.0,0.0,0.0,0.0,0.0,1
2025-01-04 17:05:00,6,6162,361.0,3,3.0,0.0,0.0,0.0,0.0,1
2025-01-04 17:06:00,6,15201,456.0,2,2.0,3.0,0.0,0.0,0.0,1
2025-01-04 17:08:00,6,15202,512.0,1,4.0,1.0,0.0,0.0,0.0,1
2025-01-04 17:11:00,6,15203,274.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-04 17:19:00,6,15204,519.0,1,3.0,2.0,0.0,0.0,1.0,1
2025-01-04 17:26:00,6,15205,277.0,1,1.0,1.0,0.0,1.0,0.0,1
2025-01-04 17:28:00,6,15206,347.0,1,2.0,2.0,0.0,0.0,1.0,1
2025-01-04 17:31:00,6,15207,387.0,2,1.0,0.0,0.0,2.0,0.0,1
2025-01-04 17:32:00,6,6163,179.0,3,1.0,0.0,0.0,0.0,0.0,0
2025-01-04 17:33:00,6,6164,420.0,3,3.0,1.0,0.0,0.0,0.0,1
2025-01-04 17:34:00,6,6165,244.0,3,2.0,0.0,0.0,0.0,0.0,0
2025-01-04 17:36:00,6,15212,274.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-04 17:37:00,6,6177,531.0,3,2.0,0.0,5.0,0.0,0.0,0
2025-01-04 17:38:00,6,15214,291.0,2,1.0,2.0,0.0,0.0,0.0,1
2025-01-04 17:40:00,6,15215,426.0,2,2.0,2.0,0.0,0.0,0.0,1
2025-01-04 17:43:00,6,917,395.0,3,2.0,1.0,2.0,0.0,0.0,0
2025-01-04 17:45:00,6,15217,347.0,2,2.0,1.0,0.0,0.0,0.0,1
2025-01-04 17:46:00,6,6166,288.0,3,2.0,1.0,0.0,0.0,1.0,1
2025-01-04 17:50:00,6,15219,373.0,2,2.0,2.0,0.0,0.0,0.0,1
2025-01-04 17:51:00,6,15220,1090.0,2,6.0,3.0,5.0,0.0,0.0,1
2025-01-04 17:55:00,6,6174,457.0,3,2.0,2.0,2.0,0.0,0.0,0
2025-01-04 17:56:00,6,6172,371.0,3,2.0,1.0,2.0,0.0,0.0,0
2025-01-04 18:05:00,6,6176,572.0,3,2.0,2.0,3.0,0.0,0.0,0
2025-01-04 18:10:00,6,15221,218.0,2,1.0,1.0,0.0,0.0,0.0,1
2025-01-04 18:11:00,6,918,387.0,3,2.0,1.0,1.0,0.0,0.0,0
2025-01-04 18:17:00,6,15224,509.0,1,3.0,2.0,0.0,0.0,0.0,1
2025-01-04 18:21:00,6,6167,291.0,3,0.0,1.0,0.0,2.0,2.0,1
2025-01-04 18:23:00,6,6168,242.0,3,2.0,0.0,0.0,0.0,0.0,1
2025-01-04 18:26:00,6,6169,376.0,3,2.0,2.0,0.0,0.0,0.0,1
2025-01-04 18:27:00,6,6170,40.0,3,0.0,0.0,2.0,0.0,0.0,0
2025-01-04 18:28:00,6,15229,733.0,1,5.0,0.0,0.0,2.0,0.0,1
2025-01-04 18:30:00,6,6179,338.0,3,2.0,0.0,2.0,0.0,0.0,0
2025-01-04 18:34:00,6,6171,311.0,3,2.0,1.0,0.0,0.0,0.0,1
2025-01-04 18:35:00,6,15231,218.0,2,1.0,1.0,0.0,0.0,0.0,1
2025-01-04 18:38:00,6,6177,531.0,3,2.0,0.0,5.0,0.0,0.0,0
2025-01-04 18:40:00,6,6177,531.0,3,2.0,0.0,5.0,0.0,0.0,0
2025-01-04 18:46:00,6,6173,198.0,3,1.0,1.0,0.0,0.0,0.0,1
2025-01-04 18:47:00,6,15234,139.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-04 18:49:00,6,15235,808.0,1,4.0,4.0,0.0,0.0,3.0,1
2025-01-04 18:50:00,6,6176,572.0,3,2.0,2.0,3.0,0.0,0.0,0
2025-01-04 18:51:00,6,15236,218.0,2,1.0,1.0,0.0,0.0,0.0,1
2025-01-04 18:53:00,6,15237,272.0,1,2.0,0.0,0.0,0.0,0.0,1
2025-01-04 19:06:00,6,6180,579.0,3,1.0,0.0,3.0,0.0,0.0,0
2025-01-04 19:08:00,6,15238,248.0,2,1.0,2.0,0.0,0.0,0.0,1
2025-01-04 19:09:00,6,15239,278.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-04 19:12:00,6,6175,250.0,3,2.0,0.0,0.0,0.0,0.0,0
2025-01-04 19:14:00,6,15242,627.0,2,4.0,1.0,0.0,0.0,0.0,1
2025-01-04 19:16:00,6,15243,267.0,1,3.0,0.0,0.0,0.0,0.0,1
2025-01-04 19:17:00,6,15245,594.0,1,3.0,2.0,0.0,1.0,0.0,1
2025-01-04 19:26:00,6,6178,-38.0,3,0.0,0.0,-1.0,0.0,0.0,0
2025-01-04 19:37:00,6,6181,441.0,3,2.0,2.0,2.0,0.0,0.0,0
2025-01-04 19:41:00,6,15248,248.0,1,2.0,0.0,0.0,0.0,0.0,1
2025-01-04 19:54:00,6,6180,579.0,3,1.0,0.0,3.0,0.0,0.0,0
2025-01-05 14:35:00,7,15252,248.0,1,2.0,0.0,0.0,0.0,0.0,1
2025-01-05 15:02:00,7,15253,262.0,2,0.0,0.0,0.0,2.0,0.0,1
2025-01-05 15:26:00,7,15254,435.0,1,3.0,2.0,0.0,0.0,0.0,1
2025-01-05 15:31:00,7,15255,566.0,2,3.0,2.0,0.0,0.0,1.0,1
2025-01-05 15:34:00,7,15256,139.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-05 15:36:00,7,15257,248.0,2,2.0,0.0,1.0,0.0,0.0,1
2025-01-05 16:07:00,7,15258,401.0,2,3.0,1.0,0.0,0.0,0.0,1
2025-01-05 16:23:00,7,15259,361.0,2,2.0,1.0,0.0,0.0,0.0,1
2025-01-05 16:39:00,7,15260,242.0,1,2.0,0.0,0.0,0.0,0.0,1
2025-01-05 16:53:00,7,6189,669.0,3,3.0,4.0,3.0,0.0,0.0,0
2025-01-05 16:56:00,7,15262,183.0,2,1.0,0.0,0.0,0.0,2.0,1
2025-01-05 17:03:00,7,15263,163.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-05 17:05:00,7,6182,254.0,3,2.0,0.0,0.0,0.0,0.0,1
2025-01-05 17:09:00,7,15265,163.0,2,1.0,0.0,0.0,0.0,1.0,1
2025-01-05 17:11:00,7,15267,357.0,2,2.0,1.0,0.0,0.0,0.0,1
2025-01-05 17:19:00,7,6183,467.0,3,3.0,1.0,1.0,0.0,0.0,1
2025-01-05 17:27:00,7,6188,396.0,3,2.0,1.0,2.0,0.0,0.0,0
2025-01-05 17:36:00,7,15271,317.0,1,3.0,0.0,0.0,0.0,0.0,1
2025-01-05 17:40:00,7,15272,143.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-05 17:59:00,7,6185,119.0,3,1.0,0.0,0.0,0.0,0.0,0
2025-01-05 18:05:00,7,6186,350.0,3,2.0,3.0,0.0,0.0,0.0,1
2025-01-05 18:07:00,7,6197,1455.0,3,4.0,1.0,1.0,3.0,0.0,0
2025-01-05 18:13:00,7,15276,274.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-05 18:14:00,7,6187,302.0,3,3.0,0.0,1.0,0.0,0.0,1
2025-01-05 18:17:00,7,15281,314.0,2,2.0,0.0,2.0,0.0,0.0,1
2025-01-05 18:22:00,7,6195,1047.0,3,2.0,0.0,1.0,0.0,0.0,0
2025-01-05 18:29:00,7,15283,274.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-05 18:32:00,7,6190,262.0,3,2.0,1.0,0.0,0.0,0.0,1
2025-01-05 18:40:00,7,6193,319.0,3,2.0,0.0,2.0,0.0,0.0,0
2025-01-05 18:45:00,7,15285,357.0,2,2.0,1.0,0.0,0.0,0.0,1
2025-01-05 18:51:00,7,6191,531.0,3,4.0,0.0,1.0,0.0,0.0,1
2025-01-05 18:56:00,7,15287,149.0,1,1.0,0.0,0.0,0.0,1.0,1
2025-01-05 19:02:00,7,15288,347.0,2,2.0,1.0,0.0,0.0,0.0,1
2025-01-05 19:04:00,7,15289,545.0,1,3.0,2.0,0.0,0.0,0.0,1
2025-01-05 19:05:00,7,6192,149.0,3,1.0,0.0,0.0,0.0,0.0,0
2025-01-05 19:06:00,7,6198,606.0,3,1.0,0.0,3.0,0.0,0.0,0
2025-01-05 19:07:00,7,15291,636.0,2,3.0,2.0,2.0,0.0,3.0,1
2025-01-05 19:14:00,7,6197,1455.0,3,4.0,1.0,1.0,3.0,0.0,0
2025-01-05 19:19:00,7,15293,129.0,1,1.0,0.0,0.0,0.0,0.0,1
2025-01-05 19:23:00,7,6196,740.0,3,2.0,2.0,3.0,2.0,0.0,0
2025-01-05 19:26:00,7,6194,736.0,3,6.0,0.0,0.0,0.0,0.0,1
2025-01-05 19:28:00,7,15295,139.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-05 19:30:00,7,6196,740.0,3,2.0,2.0,3.0,2.0,0.0,0
2025-01-05 19:52:00,7,15298,278.0,2,1.0,1.0,3.0,0.0,0.0,1
2025-01-05 19:53:00,7,6199,1110.0,3,5.0,1.0,3.0,0.0,0.0,0
2025-01-05 20:00:00,7,15299,139.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-05 20:03:00,7,6198,606.0,3,1.0,0.0,3.0,0.0,0.0,0
2025-01-07 16:00:00,2,6200,238.0,3,2.0,0.0,0.0,0.0,0.0,0
2025-01-07 16:23:00,2,15304,278.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-07 16:26:00,2,15305,303.0,1,1.0,0.0,0.0,0.0,0.0,1
2025-01-07 16:28:00,2,6201,119.0,3,1.0,0.0,0.0,0.0,0.0,0
2025-01-07 16:29:00,2,6202,128.0,3,0.0,2.0,0.0,0.0,0.0,0
2025-01-07 16:53:00,2,15308,149.0,1,1.0,0.0,0.0,0.0,1.0,1
2025-01-07 17:04:00,2,6203,227.0,3,1.0,1.0,1.0,0.0,0.0,0
2025-01-07 17:08:00,2,6204,119.0,3,1.0,0.0,0.0,0.0,0.0,0
2025-01-07 17:11:00,2,15311,323.0,1,2.0,1.0,0.0,0.0,0.0,1
2025-01-07 17:16:00,2,15312,242.0,1,2.0,0.0,0.0,0.0,0.0,1
2025-01-07 17:31:00,2,6206,370.0,3,2.0,0.0,2.0,0.0,0.0,0
2025-01-07 17:32:00,2,15313,274.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-07 17:34:00,2,15314,657.0,1,2.0,5.0,0.0,0.0,0.0,1
2025-01-07 17:37:00,2,6205,443.0,3,2.0,0.0,2.0,1.0,1.0,0
2025-01-07 17:46:00,2,15315,409.0,2,3.0,0.0,0.0,0.0,0.0,1
2025-01-07 17:47:00,2,15316,278.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-07 17:55:00,2,15317,333.0,1,2.0,1.0,0.0,0.0,0.0,1
2025-01-07 18:16:00,2,15318,248.0,1,2.0,0.0,0.0,0.0,0.0,1
2025-01-07 18:25:00,2,6210,519.0,3,1.0,0.0,2.0,0.0,0.0,0
2025-01-07 18:29:00,2,15320,357.0,2,2.0,1.0,0.0,0.0,0.0,1
2025-01-07 18:33:00,2,15322,492.0,1,4.0,0.0,0.0,0.0,0.0,1
2025-01-07 18:35:00,2,15323,380.0,2,1.0,3.0,0.0,0.0,0.0,1
2025-01-07 18:42:00,2,919,346.0,3,2.0,0.0,2.0,0.0,0.0,0
2025-01-07 18:53:00,2,6207,600.0,3,2.0,2.0,2.0,0.0,0.0,0
2025-01-07 18:57:00,2,6208,328.0,3,2.0,1.0,0.0,0.0,1.0,1
2025-01-07 19:04:00,2,15327,278.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-07 19:14:00,2,6209,347.0,3,2.0,3.0,0.0,0.0,0.0,0
2025-01-07 19:23:00,2,6211,484.0,3,1.0,2.0,2.0,1.0,0.0,0
2025-01-07 19:24:00,2,6211,484.0,3,1.0,2.0,2.0,1.0,0.0,0
2025-01-07 19:28:00,2,15329,218.0,2,1.0,1.0,0.0,0.0,0.0,1
2025-01-07 19:59:00,2,920,417.0,3,3.0,0.0,1.0,0.0,0.0,0
2025-01-07 20:44:00,2,921,1068.0,3,4.0,2.0,8.0,0.0,0.0,0
2025-01-08 16:02:00,3,15334,357.0,2,2.0,1.0,0.0,0.0,0.0,1
2025-01-08 16:09:00,3,6212,178.0,3,1.0,1.0,0.0,0.0,0.0,0
2025-01-08 16:13:00,3,6213,376.0,3,2.0,2.0,0.0,0.0,0.0,0
2025-01-08 16:18:00,3,15337,143.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-08 16:54:00,3,15338,400.0,1,2.0,2.0,0.0,0.0,0.0,1
2025-01-08 16:58:00,3,6216,303.0,3,2.0,0.0,1.0,0.0,0.0,0
2025-01-08 17:03:00,3,6214,435.0,3,2.0,3.0,0.0,0.0,0.0,1
2025-01-08 17:20:00,3,6215,242.0,3,2.0,0.0,0.0,0.0,0.0,1
2025-01-08 17:29:00,3,15341,343.0,2,2.0,1.0,0.0,0.0,0.0,1
2025-01-08 17:44:00,3,6219,351.0,3,1.0,2.0,2.0,0.0,1.0,0
2025-01-08 17:55:00,3,15343,585.0,1,3.0,4.0,0.0,0.0,0.0,1
2025-01-08 18:00:00,3,6217,734.0,3,4.0,4.0,0.0,0.0,0.0,1
2025-01-08 18:16:00,3,6222,384.0,3,2.0,0.0,2.0,0.0,0.0,0
2025-01-08 18:18:00,3,6218,327.0,3,2.0,0.0,2.0,0.0,0.0,0
2025-01-08 18:27:00,3,6220,242.0,3,2.0,0.0,0.0,0.0,0.0,1
2025-01-08 18:31:00,3,15348,577.0,1,4.0,1.0,0.0,0.0,0.0,1
2025-01-08 18:32:00,3,922,674.0,3,2.0,1.0,5.0,2.0,0.0,0
2025-01-08 18:33:00,3,923,711.0,3,3.0,4.0,3.0,0.0,0.0,0
2025-01-08 18:40:00,3,6221,301.0,3,2.0,1.0,0.0,0.0,0.0,1
2025-01-08 18:56:00,3,15352,202.0,1,1.0,1.0,0.0,0.0,0.0,1
2025-01-08 19:05:00,3,6223,159.0,3,1.0,2.0,0.0,0.0,0.0,0
2025-01-08 19:06:00,3,6226,472.0,3,2.0,1.0,3.0,0.0,0.0,0
2025-01-08 19:12:00,3,924,277.0,3,1.0,0.0,1.0,1.0,0.0,0
2025-01-08 19:38:00,3,6224,119.0,3,1.0,0.0,0.0,0.0,0.0,0
2025-01-08 19:40:00,3,925,487.0,3,1.0,0.0,3.0,0.0,0.0,0
2025-01-08 19:41:00,3,15358,278.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-08 19:49:00,3,6227,544.0,3,3.0,0.0,3.0,0.0,0.0,0
2025-01-08 19:58:00,3,926,459.0,3,2.0,2.0,2.0,0.0,1.0,0
2025-01-08 20:04:00,3,6225,124.0,3,1.0,0.0,0.0,0.0,1.0,0
2025-01-09 14:59:00,4,15363,139.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-09 15:00:00,4,15364,460.0,2,1.0,2.0,0.0,1.0,2.0,1
2025-01-09 15:15:00,4,15365,232.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-09 16:00:00,4,15366,271.0,1,1.0,0.0,0.0,2.0,1.0,1
2025-01-09 16:18:00,4,15367,366.0,2,1.0,3.0,0.0,0.0,0.0,1
2025-01-09 16:20:00,4,15368,359.0,1,0.0,5.0,0.0,0.0,0.0,1
2025-01-09 16:43:00,4,6228,128.0,3,0.0,2.0,0.0,0.0,0.0,0
2025-01-09 16:44:00,4,15370,311.0,1,3.0,1.0,0.0,0.0,0.0,1
2025-01-09 16:52:00,4,15372,268.0,1,2.0,0.0,0.0,0.0,1.0,1
2025-01-09 16:53:00,4,15373,143.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-09 17:07:00,4,6229,254.0,3,2.0,0.0,0.0,0.0,0.0,1
2025-01-09 17:09:00,4,15375,407.0,2,2.0,1.0,0.0,0.0,3.0,1
2025-01-09 17:10:00,4,15376,307.0,1,2.0,1.0,0.0,0.0,0.0,1
2025-01-09 17:14:00,4,6230,125.0,3,1.0,0.0,0.0,0.0,0.0,0
2025-01-09 17:15:00,4,15378,683.0,2,2.0,6.0,0.0,0.0,1.0,1
2025-01-09 17:19:00,4,6231,242.0,3,2.0,0.0,0.0,0.0,0.0,1
2025-01-09 17:22:00,4,15380,218.0,2,1.0,1.0,0.0,0.0,0.0,1
2025-01-09 17:31:00,4,15381,218.0,1,1.0,0.0,0.0,1.0,0.0,1
